Text,True_Label,Predicted_Label
bonjour,salutation,salutation
salut,salutation,salutation
coucou,salutation,salutation
bonsoir,salutation,salutation
yo,salutation,salutation
hey,salutation,salutation
bienvenue,salutation,salutation
allo,salutation,salutation
hello,salutation,salutation
salutations,salutation,salutation
cc,salutation,salutation
bjr,salutation,salutation
bon matin,salutation,salutation
bon après-midi,salutation,salutation
je te salue,salutation,salutation
bonjour à tous,salutation,salutation
hello le service,salutation,salutation
salut les amis,salutation,salutation
salut la team,salutation,salutation
bonjour à vous,salutation,salutation
merci,remerciement,remerciement
merci beaucoup,remerciement,remerciement
merci infiniment,remerciement,remerciement
super travail,remerciement,remerciement
cool merci,remerciement,remerciement
vous êtes au top,remerciement,remerciement
je vous remercie,remerciement,remerciement
gentil de votre part,remerciement,remerciement
sympa,remerciement,remerciement
trop gentil,remerciement,remerciement
parfait merci,remerciement,remerciement
génial merci,remerciement,remerciement
top comme service,remerciement,remerciement
chouette,remerciement,remerciement
nickel,remerciement,remerciement
bravo,remerciement,remerciement
félicitations,remerciement,remerciement
merci à vous,remerciement,remerciement
thanks,remerciement,remerciement
gratitude,remerciement,remerciement
je veux commander,commande,commande
comment passer une commande,commande,commande
je souhaite acheter,commande,commande
je voudrais un panier,commande,commande
je veux ce produit,commande,commande
peux-tu me le réserver,commande,commande
je finalise ma commande,commande,commande
je veux payer,commande,paiement
envoyez-moi la facture,commande,commande
je passe la commande maintenant,commande,commande
comment acheter,commande,commande
dispo pour commander,commande,commande
je clique où pour acheter,commande,commande
je choisis cet article,commande,commande
j’achète,commande,commande
c’est bon je prends,commande,commande
je confirme la commande,commande,commande
je veux en commander 2,commande,commande
commande confirmée,commande,commande
je veux réserver,commande,commande
je passe commande,commande,commande
acheter maintenant,commande,commande
procéder au paiement,commande,commande
valider mon panier,commande,commande
quels produits avez-vous,produit,produit
montre-moi les articles,produit,produit
as-tu des chaussures,produit,produit
je cherche une robe,produit,produit
vous avez des vêtements,produit,produit
des jeans en stock ?,produit,produit
affichez les t-shirts,produit,produit
avez-vous des baskets,produit,produit
je veux voir les accessoires,produit,produit
proposez-moi des sacs,produit,produit
vous avez du S en taille ?,produit,produit
vous avez du neuf ?,produit,produit
